datetime,Open,High,Low,Close,Volume
2024-06-13 12:30:00,67844.27,68455.73,67779.1,68208.05,16.75432897
2024-06-13 12:31:00,68218.88,68358.62,68130.61,68286.37,2.63972601
2024-06-13 12:32:00,68305.92,68400.38,68284.62,68360.85,0.97308511
2024-06-13 12:33:00,68345.54,68352.65,67746.48,68002.39,9.62251313
2024-06-13 12:34:00,68010.04,68127.27,67962.12,68104.1,1.53905716
2024-06-13 12:35:00,68116.76,68125.36,68044.21,68072.87,1.94753349
2024-06-13 12:36:00,68079.74,68208.04,68079.74,68166.45,0.22678208
2024-06-13 12:37:00,68143.64,68143.64,67959.09,67959.09,0.75245111
2024-06-13 12:38:00,67906.97,67955.45,67837.83,67932.81,0.46985267
2024-06-13 12:39:00,67853.2,67853.2,67790.2,67798.75,0.20380961
2024-06-13 12:40:00,67792.44,67840.91,67722.22,67722.22,1.54413203
2024-06-13 12:41:00,67723.41,67732.42,67618.26,67717.49,2.54309759
2024-06-13 12:42:00,67730.93,67766.76,67730.93,67766.76,0.0399189
2024-06-13 12:43:00,67753.59,67753.59,67670.57,67685.17,0.04566373
2024-06-13 12:44:00,67673.66,67673.66,67673.66,67673.66,0.00166875
2024-06-13 12:45:00,67709.47,67814.28,67709.47,67814.28,0.04166745
2024-06-13 12:46:00,67795.03,67797.08,67690.31,67735.01,0.49775527
2024-06-13 12:47:00,67713.63,67802.67,67713.63,67798.45,0.34044776
2024-06-13 12:48:00,67791.09,67817.35,67772.29,67772.29,0.12487383
2024-06-13 12:49:00,67743.19,67743.19,67691.53,67691.53,1.10463146
2024-06-13 12:50:00,67702.9,67716.32,67584.74,67620.35,0.50993373
2024-06-13 12:51:00,67635.14,67707.92,67569.04,67682.19,0.38049226
2024-06-13 12:52:00,67650.35,67691.91,67593.63,67617.93,0.45387075
2024-06-13 12:53:00,67591.46,67599.22,67560.73,67565.22,1.01558193
2024-06-13 12:54:00,67560.73,67582.99,67538.99,67582.98,0.30387344
2024-06-13 12:55:00,67579.05,67579.05,67529.18,67529.19,0.07793078
2024-06-13 12:56:00,67557.36,67557.36,67452.53,67543.54,1.02402992
2024-06-13 12:57:00,67570.83,67651.84,67565.29,67650.9,0.41308194
2024-06-13 12:58:00,67646.58,67705.03,67646.58,67700.31,0.15685589
2024-06-13 12:59:00,67698.32,67754.63,67673.64,67754.63,0.41495686
2024-06-13 13:00:00,67741.08,67806.14,67731.93,67797.92,0.21148781
2024-06-13 13:01:00,67802.84,67816.35,67796.69,67813.32,0.13852981
2024-06-13 13:02:00,67786.95,67809.3,67780.9,67793.1,0.31931713
2024-06-13 13:03:00,67803.61,67803.61,67760.76,67777.94,0.77721054
2024-06-13 13:04:00,67765.62,67790.26,67765.62,67790.26,0.00133568
2024-06-13 13:05:00,67771.65,67771.65,67687.6,67727.69,0.08963955
2024-06-13 13:06:00,67743.64,67784.97,67732.01,67732.01,0.08661617
2024-06-13 13:07:00,67732.73,67732.73,67702.18,67714.15,0.07061266
2024-06-13 13:08:00,67712.26,67712.26,67696.02,67696.02,0.33225033
2024-06-13 13:09:00,67642.44,67682.01,67613.55,67660.39,0.1580941
2024-06-13 13:10:00,67672.41,67672.41,67672.41,67672.41,6.203e-05
2024-06-13 13:12:00,67678.53,67735.56,67678.53,67735.56,0.02031828
2024-06-13 13:13:00,67712.09,67735.93,67706.4,67735.93,0.05869718
2024-06-13 13:15:00,67838.2,67869.49,67818.87,67869.49,0.16276552
2024-06-13 13:16:00,67867.03,67876.29,67862.6,67874.06,0.11164135
2024-06-13 13:17:00,67873.71,67904.56,67840.9,67867.44,0.33548165
2024-06-13 13:18:00,67840.36,67840.36,67840.36,67840.36,0.00796369
2024-06-13 13:19:00,67840.82,67850.73,67838.1,67838.1,0.16983614
2024-06-13 13:20:00,67842.82,67842.82,67814.15,67830.71,0.06635996
2024-06-13 13:21:00,67792.72,67809.54,67783.22,67793.15,0.16337082
2024-06-13 13:22:00,67797.21,67856.71,67797.21,67839.45,0.17057646
2024-06-13 13:23:00,67869.99,67905.08,67869.99,67896.23,0.26383154
2024-06-13 13:24:00,67913.47,67928.49,67909.38,67915.18,0.15363082
2024-06-13 13:25:00,67932.17,67962.57,67932.17,67950.44,0.09627314
